person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,log_person_income,log_loan_amnt
24,65000,RENT,6,HOMEIMPROVEMENT,B,32500,0.0999,1,0.5,N,3,11.08215793,10.38902614
21,11389,OTHER,5,EDUCATION,C,4000,0.1284,1,0.351216086,Y,2,9.340491056,8.294299609
21,11520,OWN,5,MEDICAL,B,2000,0.1112,1,0.173611111,N,3,9.351926736,7.601402335
25,120000,RENT,2,VENTURE,A,32000,0.0662,0,0.266666667,N,2,11.69525536,10.37352243
26,95000,RENT,7,HOMEIMPROVEMENT,C,31050,0.1417,1,0.326842105,Y,3,11.4616427,10.34338629
25,306000,RENT,2,DEBTCONSOLIDATION,C,24250,0.1385,0,0.079248366,N,3,12.63134365,10.09621313
26,300000,MORTGAGE,10,MEDICAL,C,7800,0.1349,0,0.026,N,4,12.61154109,8.96200721
21,12000,OWN,5,EDUCATION,A,2500,0.0751,1,0.208333333,N,4,9.392745259,7.824445931
22,48000,RENT,1,EDUCATION,E,30000,0.1839,1,0.625,N,2,10.77897712,10.30898599
24,64000,RENT,8,DEBTCONSOLIDATION,D,30000,0.1454,1,0.46875,Y,3,11.06665399,10.30898599
25,75000,RENT,4,HOMEIMPROVEMENT,D,30000,0.1689,1,0.4,Y,4,11.22525673,10.30898599
23,71500,RENT,3,DEBTCONSOLIDATION,D,30000,0.1099,1,0.41958042,N,4,11.17746671,10.30898599
26,62050,RENT,6,MEDICAL,E,30000,0.1799,1,0.483481064,N,2,11.03571191,10.30898599
24,12000,OWN,4,VENTURE,B,2500,0.1269,1,0.208333333,N,3,9.392745259,7.824445931
26,300000,MORTGAGE,10,VENTURE,A,20000,0.0788,0,0.066666667,N,4,12.61154109,9.903537551
23,300000,OWN,1,EDUCATION,F,24250,0.1941,0,0.080833333,Y,2,12.61154109,10.09621313
26,300000,OWN,9,HOMEIMPROVEMENT,B,10000,0.1038,0,0.033333333,N,4,12.61154109,9.210440367
26,300000,MORTGAGE,0,EDUCATION,D,25000,0.1533,0,0.083333333,N,3,12.61154109,10.1266711
25,300000,MORTGAGE,9,HOMEIMPROVEMENT,E,18000,0.1645,0,0.06,N,3,12.61154109,9.798182591
26,80690,RENT,8,PERSONAL,A,30000,0.0749,1,0.371793283,N,3,11.29838232,10.30898599
22,66300,RENT,4,MEDICAL,B,30000,0.1269,1,0.452488688,N,3,11.10196026,10.30898599
26,89028,RENT,0,DEBTCONSOLIDATION,A,30000,0.0662,1,0.336972638,N,3,11.39671744,10.30898599
24,78000,RENT,4,DEBTCONSOLIDATION,D,30000,0.1099,1,0.384615385,Y,4,11.26447693,10.30898599
23,78000,RENT,7,DEBTCONSOLIDATION,F,30000,0.1862,1,0.384615385,Y,3,11.26447693,10.30898599
23,92004,RENT,6,PERSONAL,C,30000,0.1523,1,0.326072779,Y,3,11.4295982,10.30898599
23,97000,RENT,7,VENTURE,B,30000,0.1065,1,0.309278351,N,2,11.48247657,10.30898599
25,120000,RENT,9,EDUCATION,A,30000,0.079,0,0.25,N,4,11.69525536,10.30898599
26,280000,RENT,4,PERSONAL,C,10000,0.1596,0,0.035714286,Y,3,12.54254845,9.210440367
26,277104,RENT,0,VENTURE,B,20000,0.1148,0,0.072175068,N,3,12.53215177,9.903537551
23,277000,OWN,3,PERSONAL,A,35000,0.1099,0,0.126353791,N,4,12.5317764,10.46313191
25,128000,RENT,9,PERSONAL,A,30000,0.0729,0,0.234375,N,4,11.75979336,10.30898599
24,12000,OWN,2,VENTURE,E,1750,0.1099,0,0.145833333,Y,3,9.392745259,7.467942332
21,131000,RENT,0,VENTURE,A,30000,0.0599,0,0.229007634,N,4,11.78296024,10.30898599
22,275000,OWN,6,VENTURE,B,12000,0.1158,0,0.043636364,N,2,12.52453001,9.392745259
26,263000,MORTGAGE,0,EDUCATION,B,10000,0.1099,1,0.038022814,N,4,12.47991311,9.210440367
25,221850,MORTGAGE,9,MEDICAL,D,25000,0.157,1,0.112688754,N,2,12.30976126,10.1266711
22,70000,RENT,6,EDUCATION,D,29100,0.1599,1,0.415714286,N,3,11.15626481,10.27852782
22,12000,MORTGAGE,7,EDUCATION,D,1500,0.1484,0,0.125,Y,3,9.392745259,7.313886832
26,260000,OWN,10,HOMEIMPROVEMENT,B,28000,0.1099,0,0.107692308,N,3,12.46844076,10.2399955
25,259000,MORTGAGE,9,HOMEIMPROVEMENT,D,20000,0.1442,0,0.077220077,Y,2,12.4645872,9.903537551
24,255000,MORTGAGE,9,EDUCATION,A,9600,0.0699,0,0.037647059,N,2,12.44902275,9.169622539
25,250000,RENT,2,MEDICAL,C,25000,0.1349,0,0.1,N,4,12.4292202,10.1266711
25,12000,OWN,0,MEDICAL,C,3000,0.1099,1,0.25,N,3,9.392745259,8.006700845
22,56950,RENT,6,MEDICAL,A,28000,0.1099,1,0.49165935,N,2,10.94994653,10.2399955
21,12000,OWN,6,EDUCATION,C,3000,0.1361,1,0.25,Y,3,9.392745259,8.006700845
23,65000,RENT,2,EDUCATION,A,28000,0.079,1,0.430769231,N,2,11.08215793,10.2399955
26,85000,RENT,2,VENTURE,A,28000,0.0749,1,0.329411765,N,3,11.3504183,10.2399955
26,12000,OWN,2,EDUCATION,A,6100,0.0751,1,0.508333333,N,3,9.392745259,8.716207971
22,88000,RENT,6,VENTURE,B,28000,0.0991,1,0.318181818,N,3,11.38510346,10.2399955
21,12000,OWN,0,PERSONAL,C,4200,0.1348,1,0.35,Y,4,9.392745259,8.343077871
22,12000,OWN,6,DEBTCONSOLIDATION,A,4750,0.0714,1,0.395833333,N,2,9.392745259,8.466110401
24,83004,RENT,0,VENTURE,D,28000,0.1599,1,0.337333141,Y,4,11.32665613,10.2399955
24,250000,RENT,2,EDUCATION,C,18000,0.1298,0,0.072,Y,3,12.4292202,9.798182591
25,100000,RENT,5,DEBTCONSOLIDATION,B,28000,0.1269,0,0.28,N,3,11.51293546,10.2399955
26,110000,RENT,10,EDUCATION,A,28000,0.089,0,0.254545455,N,2,11.60824474,10.2399955
26,12000,OWN,0,DEBTCONSOLIDATION,A,2700,0.1099,1,0.225,N,4,9.392745259,7.901377354
22,108000,RENT,6,EDUCATION,B,28000,0.1099,1,0.259259259,N,4,11.58989577,10.2399955
23,151200,RENT,7,DEBTCONSOLIDATION,B,28000,0.1111,0,0.185185185,N,2,11.92636536,10.2399955
24,69000,RENT,2,HOMEIMPROVEMENT,A,27600,0.1099,1,0.4,N,2,11.14187628,10.22560728
21,12000,MORTGAGE,5,DEBTCONSOLIDATION,E,3250,0.1568,1,0.270833333,Y,3,9.392745259,8.08671792
22,70000,RENT,4,EDUCATION,C,27500,0.1306,1,0.392857143,Y,3,11.15626481,10.22197765
22,240000,OWN,6,PERSONAL,B,25000,0.1099,0,0.104166667,N,2,12.38839837,10.1266711
26,73200,RENT,5,VENTURE,D,27050,0.1562,1,0.369535519,Y,2,11.20096436,10.20547925
24,83000,RENT,5,PERSONAL,C,27000,0.1349,1,0.325301205,Y,2,11.32660793,10.20362918
24,73399,RENT,0,VENTURE,D,27000,0.1099,1,0.367852423,N,3,11.20367921,10.20362918
23,62500,RENT,7,MEDICAL,B,26000,0.1171,1,0.416,N,2,11.04293784,10.16589028
23,120000,RENT,1,EDUCATION,B,25600,0.1269,0,0.213333333,N,3,11.69525536,10.15038669
24,12360,OWN,2,MEDICAL,C,1600,0.1357,0,0.129449838,N,3,9.422301634,7.378383713
22,60000,RENT,0,VENTURE,B,25475,0.1099,1,0.424583333,N,3,11.00211651,10.14549211
25,234000,MORTGAGE,3,MEDICAL,C,20000,0.1427,0,0.085470085,Y,4,12.36308067,9.903537551
24,234000,OWN,8,HOMEIMPROVEMENT,B,20000,0.0888,0,0.085470085,N,4,12.36308067,9.903537551
26,234000,MORTGAGE,10,HOMEIMPROVEMENT,B,21600,0.1218,0,0.092307692,N,3,12.36308067,9.980494889
25,221004,MORTGAGE,6,DEBTCONSOLIDATION,D,11900,0.1442,1,0.053845179,Y,3,12.3059406,9.384377709
26,232500,MORTGAGE,0,MEDICAL,C,25000,0.1417,0,0.107526882,Y,2,12.35664981,10.1266711
25,230000,MORTGAGE,5,MEDICAL,C,35000,0.1399,0,0.152173913,N,4,12.34583894,10.46313191
23,83000,RENT,7,EDUCATION,B,25300,0.1099,1,0.304819277,N,3,11.32660793,10.1385992
22,12600,MORTGAGE,4,PERSONAL,A,2000,0.0542,1,0.158730159,N,4,9.441531455,7.601402335
25,12600,OWN,3,PERSONAL,C,1750,0.1361,0,0.138888889,N,3,9.441531455,7.467942332
21,42500,RENT,3,EDUCATION,C,25000,0.1273,1,0.588235294,Y,3,10.65728288,10.1266711
24,41000,RENT,2,HOMEIMPROVEMENT,D,25000,0.1099,1,0.609756098,N,3,10.62135174,10.1266711
25,12816,OWN,0,DEBTCONSOLIDATION,C,3000,0.1287,1,0.234082397,Y,4,9.458527694,8.006700845
24,12960,MORTGAGE,1,HOMEIMPROVEMENT,B,3650,0.0991,1,0.281635802,N,3,9.469700127,8.202756382
26,226000,MORTGAGE,4,HOMEIMPROVEMENT,B,20000,0.1149,0,0.088495575,N,4,12.3282947,9.903537551
25,225000,MORTGAGE,0,HOMEIMPROVEMENT,E,30000,0.1991,0,0.133333333,Y,2,12.32386013,10.30898599
26,213000,MORTGAGE,6,EDUCATION,B,35000,0.1065,1,0.164319249,N,2,12.26905214,10.46313191
24,225000,RENT,0,MEDICAL,B,6000,0.1099,0,0.026666667,N,4,12.32386013,8.699681401
24,12960,MORTGAGE,0,DEBTCONSOLIDATION,B,4500,0.1183,1,0.347222222,N,4,9.469700127,8.412054873
23,12996,OWN,0,DEBTCONSOLIDATION,C,2400,0.1349,1,0.184672207,Y,2,9.472473841,7.783640596
22,42000,RENT,6,MEDICAL,D,25000,0.1459,1,0.595238095,Y,2,10.64544871,10.1266711
26,48000,RENT,2,EDUCATION,B,25000,0.0964,1,0.520833333,N,4,10.77897712,10.1266711
25,12996,OWN,1,MEDICAL,D,3600,0.1459,1,0.27700831,N,3,9.472473841,8.188966864
22,12996,OWN,1,EDUCATION,B,4750,0.1099,1,0.365497076,N,3,9.472473841,8.466110401
25,42360,RENT,1,EDUCATION,E,25000,0.1635,1,0.590179415,Y,3,10.65398341,10.1266711
21,49000,RENT,4,EDUCATION,B,25000,0.1099,1,0.510204082,N,2,10.79959599,10.1266711
25,225000,MORTGAGE,0,VENTURE,F,25000,0.1867,0,0.111111111,N,2,12.32386013,10.1266711
26,225000,RENT,1,EDUCATION,A,3000,0.0932,0,0.013333333,N,4,12.32386013,8.006700845
23,225000,RENT,8,DEBTCONSOLIDATION,A,7500,0.0863,0,0.033333333,N,2,12.32386013,8.922791624
26,225000,MORTGAGE,2,VENTURE,B,25000,0.1008,0,0.111111111,N,2,12.32386013,10.1266711
22,49464,RENT,5,PERSONAL,B,25000,0.1183,1,0.505418082,N,3,10.80902063,10.1266711
23,50000,RENT,1,DEBTCONSOLIDATION,A,25000,0.079,1,0.5,N,3,10.81979828,10.1266711
25,50000,RENT,4,HOMEIMPROVEMENT,A,25000,0.0599,1,0.5,N,2,10.81979828,10.1266711
24,44000,RENT,2,DEBTCONSOLIDATION,D,25000,0.1533,1,0.568181818,N,2,10.69196764,10.1266711
23,50000,RENT,1,VENTURE,B,25000,0.1183,1,0.5,N,4,10.81979828,10.1266711
22,50004,RENT,0,VENTURE,B,25000,0.1036,1,0.499960003,N,2,10.81987828,10.1266711
22,50004,RENT,3,VENTURE,C,25000,0.1223,1,0.499960003,N,3,10.81987828,10.1266711
22,52000,RENT,2,EDUCATION,B,25000,0.1111,1,0.480769231,N,4,10.85901823,10.1266711
23,13200,OWN,3,DEBTCONSOLIDATION,A,4950,0.079,1,0.375,N,4,9.488047863,8.507344855
24,220000,MORTGAGE,1,EDUCATION,B,25000,0.1158,0,0.113636364,N,2,12.30138737,10.1266711
23,216000,MORTGAGE,5,DEBTCONSOLIDATION,A,21000,0.089,0,0.097222222,N,3,12.28303832,9.952325335
25,216000,MORTGAGE,2,EDUCATION,D,25000,0.1607,0,0.115740741,N,3,12.28303832,10.1266711
26,216000,MORTGAGE,10,EDUCATION,C,20000,0.1422,0,0.092592593,Y,2,12.28303832,9.903537551
23,215000,MORTGAGE,7,MEDICAL,C,35000,0.1479,0,0.162790698,Y,3,12.27839796,10.46313191
26,215000,MORTGAGE,11,EDUCATION,A,12000,0.0788,0,0.055813953,N,2,12.27839796,9.392745259
23,52000,RENT,1,PERSONAL,C,25000,0.1322,1,0.480769231,N,2,10.85901823,10.1266711
26,46000,RENT,2,DEBTCONSOLIDATION,D,25000,0.1186,1,0.543478261,N,4,10.73641841,10.1266711
22,53000,RENT,5,EDUCATION,C,25000,0.1343,1,0.471698113,Y,4,10.87806606,10.1266711
26,47000,RENT,0,HOMEIMPROVEMENT,D,25000,0.1528,1,0.531914894,Y,2,10.75792416,10.1266711
23,47000,RENT,1,VENTURE,E,25000,0.1793,1,0.531914894,N,2,10.75792416,10.1266711
23,13200,MORTGAGE,2,EDUCATION,B,1400,0.0925,0,0.106060606,N,4,9.488047863,7.244941546
21,13200,OWN,0,VENTURE,C,4500,0.1298,1,0.340909091,N,4,9.488047863,8.412054873
22,210000,MORTGAGE,6,VENTURE,B,16000,0.1062,0,0.076190476,N,4,12.25486757,9.680406499
26,210000,OWN,10,PERSONAL,B,22000,0.1183,0,0.104761905,N,4,12.25486757,9.998843186
26,48000,RENT,5,VENTURE,F,25000,0.1843,1,0.520833333,N,2,10.77897712,10.1266711
22,54996,RENT,6,EDUCATION,B,25000,0.1099,1,0.454578515,N,4,10.91503392,10.1266711
24,55000,RENT,4,HOMEIMPROVEMENT,D,25000,0.1099,1,0.454545455,Y,4,10.91510665,10.1266711
23,55000,RENT,4,EDUCATION,B,25000,0.1136,1,0.454545455,N,3,10.91510665,10.1266711
23,55000,RENT,4,EDUCATION,D,25000,0.1565,1,0.454545455,Y,3,10.91510665,10.1266711
24,55164,RENT,8,PERSONAL,C,25000,0.1322,1,0.453194112,Y,4,10.91808397,10.1266711
26,56000,RENT,4,DEBTCONSOLIDATION,C,25000,0.1287,1,0.446428571,N,2,10.93312483,10.1266711
24,203500,OWN,8,MEDICAL,C,20000,0.1304,0,0.098280098,N,3,12.2234262,9.903537551
23,190000,MORTGAGE,5,EDUCATION,F,22000,0.1758,1,0.115789474,Y,3,12.15478461,9.998843186
23,13920,OWN,2,PERSONAL,E,7750,0.1704,1,0.556752874,N,4,9.54115377,8.955577146
24,60000,RENT,0,PERSONAL,B,25000,0.1099,1,0.416666667,N,3,11.00211651,10.1266711
24,60000,RENT,2,PERSONAL,B,25000,0.1111,1,0.416666667,N,3,11.00211651,10.1266711
26,54000,RENT,7,DEBTCONSOLIDATION,D,25000,0.1483,1,0.462962963,Y,2,10.89675784,10.1266711
23,14000,OWN,2,DEBTCONSOLIDATION,D,4000,0.1099,1,0.285714286,N,3,9.546884035,8.294299609
24,200000,RENT,8,MEDICAL,B,12000,0.1269,0,0.06,N,2,12.20607765,9.392745259
24,200000,MORTGAGE,8,HOMEIMPROVEMENT,C,12000,0.1349,0,0.06,N,2,12.20607765,9.392745259
21,200000,MORTGAGE,5,EDUCATION,C,16000,0.1465,0,0.08,N,4,12.20607765,9.680406499
25,54000,RENT,3,HOMEIMPROVEMENT,E,25000,0.1682,1,0.462962963,N,4,10.89675784,10.1266711
23,60000,RENT,3,PERSONAL,C,25000,0.1273,1,0.416666667,N,3,11.00211651,10.1266711
23,60000,RENT,7,PERSONAL,B,25000,0.1025,1,0.416666667,N,4,11.00211651,10.1266711
21,60000,RENT,6,EDUCATION,B,25000,0.1099,1,0.416666667,N,4,11.00211651,10.1266711
25,61959,RENT,9,MEDICAL,C,25000,0.1273,1,0.403492632,N,2,11.03424429,10.1266711
22,56400,RENT,2,HOMEIMPROVEMENT,D,25000,0.1496,1,0.443262411,Y,3,10.94024217,10.1266711
23,200000,MORTGAGE,7,EDUCATION,A,28000,0.1099,0,0.14,N,2,12.20607765,10.2399955
21,200000,MORTGAGE,2,DEBTCONSOLIDATION,C,25000,0.1399,0,0.125,N,2,12.20607765,10.1266711
24,200000,MORTGAGE,3,VENTURE,A,24000,0.0749,0,0.12,N,4,12.20607765,10.08585078
26,200000,MORTGAGE,4,EDUCATION,C,15000,0.1479,0,0.075,N,3,12.20607765,9.615872145
25,200000,MORTGAGE,2,DEBTCONSOLIDATION,B,15500,0.1199,0,0.0775,N,2,12.20607765,9.648659817
24,200000,RENT,8,EDUCATION,A,10000,0.0849,0,0.05,N,4,12.20607765,9.210440367
24,66000,RENT,3,EDUCATION,B,25000,0.0991,1,0.378787879,N,2,11.09742517,10.1266711
22,66000,RENT,6,EDUCATION,C,25000,0.1306,1,0.378787879,Y,3,11.09742517,10.1266711
22,200000,MORTGAGE,6,DEBTCONSOLIDATION,A,9000,0.0617,0,0.045,N,4,12.20607765,9.105090961
25,200000,RENT,5,EDUCATION,D,18000,0.1632,0,0.09,N,3,12.20607765,9.798182591
25,200000,MORTGAGE,2,VENTURE,B,12000,0.1038,0,0.06,N,2,12.20607765,9.392745259
25,200000,MORTGAGE,9,PERSONAL,C,23050,0.1435,0,0.11525,N,3,12.20607765,10.04546443
24,200000,MORTGAGE,8,DEBTCONSOLIDATION,B,20000,0.1099,0,0.1,N,3,12.20607765,9.903537551
24,60000,RENT,2,DEBTCONSOLIDATION,E,25000,0.1099,1,0.416666667,Y,2,11.00211651,10.1266711
21,14400,OWN,0,HOMEIMPROVEMENT,B,3000,0.1099,1,0.208333333,N,4,9.575052928,8.006700845
26,66996,RENT,10,PERSONAL,D,25000,0.1521,1,0.373156606,Y,2,11.11240312,10.1266711
23,67000,RENT,3,EDUCATION,A,25000,0.079,1,0.373134328,N,4,11.11246282,10.1266711
24,67000,RENT,2,VENTURE,B,25000,0.1099,1,0.373134328,N,3,11.11246282,10.1266711
24,68000,RENT,5,PERSONAL,D,25000,0.1409,1,0.367647059,Y,3,11.12727769,10.1266711
25,69000,RENT,9,PERSONAL,D,25000,0.1749,1,0.362318841,N,2,11.14187628,10.1266711
25,200000,MORTGAGE,0,EDUCATION,B,12000,0.1148,0,0.06,N,3,12.20607765,9.392745259
26,188000,MORTGAGE,10,VENTURE,E,20000,0.1774,1,0.106382979,N,2,12.14420256,9.903537551
26,200000,MORTGAGE,4,PERSONAL,C,3000,0.1392,0,0.015,N,3,12.20607765,8.006700845
25,69996,RENT,9,EDUCATION,D,25000,0.1521,1,0.357163266,N,3,11.15620766,10.1266711
22,14400,OWN,2,MEDICAL,B,4000,0.1099,1,0.277777778,N,3,9.575052928,8.294299609
24,70000,RENT,3,EDUCATION,B,25000,0.1186,1,0.357142857,N,4,11.15626481,10.1266711
24,14400,OWN,5,PERSONAL,A,6000,0.0749,1,0.416666667,N,3,9.575052928,8.699681401
24,56100,RENT,7,MEDICAL,D,25000,0.1649,1,0.445632799,N,4,10.93490892,10.1266711
25,66000,RENT,9,VENTURE,D,25000,0.1533,1,0.378787879,Y,2,11.09742517,10.1266711
26,66000,RENT,3,HOMEIMPROVEMENT,B,25000,0.1158,1,0.378787879,N,4,11.09742517,10.1266711
25,14400,OWN,7,EDUCATION,A,5375,0.0579,1,0.373263889,N,2,9.575052928,8.589699882
25,72612,RENT,9,MEDICAL,C,25000,0.1311,1,0.344295709,N,2,11.19289925,10.1266711
23,74000,RENT,3,MEDICAL,B,25000,0.1036,1,0.337837838,N,3,11.21183389,10.1266711
25,75000,RENT,9,DEBTCONSOLIDATION,B,25000,0.1036,1,0.333333333,N,2,11.22525673,10.1266711
24,192000,RENT,0,MEDICAL,C,22000,0.1099,0,0.114583333,Y,2,12.16525586,9.998843186
25,191000,MORTGAGE,1,MEDICAL,B,10000,0.1253,0,0.052356021,N,4,12.16003394,9.210440367
26,190300,MORTGAGE,5,PERSONAL,A,15000,0.1099,0,0.078822911,N,3,12.15636231,9.615872145
22,190000,MORTGAGE,3,VENTURE,C,10000,0.1099,0,0.052631579,N,3,12.15478461,9.210440367
24,75000,RENT,4,EDUCATION,B,25000,0.1025,1,0.333333333,N,4,11.22525673,10.1266711
22,71000,RENT,1,EDUCATION,D,25000,0.1595,1,0.352112676,Y,4,11.17044924,10.1266711
26,190000,MORTGAGE,3,VENTURE,B,20000,0.1218,0,0.105263158,N,4,12.15478461,9.903537551
23,189996,OWN,0,PERSONAL,B,24000,0.1183,0,0.126318449,N,3,12.15476356,10.08585078
23,78000,RENT,7,DEBTCONSOLIDATION,C,25000,0.1099,1,0.320512821,Y,2,11.26447693,10.1266711
23,78000,RENT,1,VENTURE,B,25000,0.1062,1,0.320512821,N,3,11.26447693,10.1266711
23,78504,RENT,7,VENTURE,B,25000,0.1074,1,0.318455111,N,3,11.2709176,10.1266711
25,186000,OWN,9,VENTURE,B,10000,0.1025,0,0.053763441,N,4,12.13350733,9.210440367
24,185000,MORTGAGE,4,EDUCATION,B,35000,0.1242,0,0.189189189,N,2,12.12811651,10.46313191
25,185000,RENT,6,VENTURE,C,15000,0.1527,0,0.081081081,N,2,12.12811651,9.615872145
24,62050,RENT,8,MEDICAL,D,25000,0.1533,1,0.402900886,Y,2,11.03571191,10.1266711
23,79416,RENT,7,VENTURE,D,25000,0.1521,1,0.314798026,Y,2,11.28246773,10.1266711
21,14400,OWN,4,VENTURE,C,6250,0.1472,1,0.434027778,N,2,9.575052928,8.74049673
24,79631,RENT,8,PERSONAL,D,25000,0.157,1,0.313948086,Y,2,11.2851713,10.1266711
24,79632,RENT,0,EDUCATION,C,25000,0.1335,1,0.313944143,N,4,11.28518386,10.1266711
21,14400,MORTGAGE,0,MEDICAL,C,1500,0.1099,0,0.104166667,N,4,9.575052928,7.313886832
24,80000,RENT,6,EDUCATION,A,25000,0.0662,1,0.3125,N,2,11.28979441,10.1266711
26,80000,RENT,5,DEBTCONSOLIDATION,C,25000,0.1361,1,0.3125,N,4,11.28979441,10.1266711
22,185000,RENT,4,MEDICAL,B,25000,0.1136,0,0.135135135,N,2,12.12811651,10.1266711
26,185000,OWN,10,PERSONAL,A,5000,0.0768,0,0.027027027,N,2,12.12811651,8.517393171
24,184992,RENT,7,HOMEIMPROVEMENT,D,22000,0.1446,0,0.118924062,Y,4,12.12807327,9.998843186
23,184000,OWN,5,EDUCATION,B,2500,0.1183,0,0.013586957,N,2,12.12269647,7.824445931
24,172000,MORTGAGE,6,DEBTCONSOLIDATION,C,20000,0.1347,1,0.11627907,Y,4,12.05525557,9.903537551
24,183000,MORTGAGE,2,MEDICAL,B,20000,0.1149,0,0.109289617,N,3,12.1172469,9.903537551
22,183000,MORTGAGE,3,EDUCATION,A,1000,0.1099,0,0.005464481,N,2,12.1172469,6.908754779
25,182952,MORTGAGE,9,PERSONAL,A,15000,0.0603,0,0.081988718,N,3,12.11698457,9.615872145
23,74004,RENT,7,DEBTCONSOLIDATION,E,25000,0.1635,1,0.337819577,N,4,11.21188794,10.1266711
26,74004,RENT,10,DEBTCONSOLIDATION,D,25000,0.1099,1,0.337819577,Y,4,11.21188794,10.1266711
25,81000,RENT,5,DEBTCONSOLIDATION,A,25000,0.0729,1,0.308641975,N,3,11.30221678,10.1266711
23,81600,RENT,1,MEDICAL,B,25000,0.1136,1,0.306372549,N,3,11.3095968,10.1266711
24,82000,RENT,8,VENTURE,B,25000,0.1025,0,0.304878049,N,2,11.31448672,10.1266711
24,83000,RENT,5,EDUCATION,B,25000,0.1112,0,0.301204819,N,3,11.32660793,10.1266711
24,83000,RENT,5,PERSONAL,D,25000,0.1292,0,0.301204819,Y,3,11.32660793,10.1266711
24,180000,RENT,8,EDUCATION,E,18000,0.1864,0,0.1,Y,4,12.10071769,9.798182591
23,180000,MORTGAGE,8,PERSONAL,A,28000,0.0751,0,0.155555556,N,3,12.10071769,10.2399955
23,14400,OWN,2,HOMEIMPROVEMENT,E,4000,0.167,1,0.277777778,N,2,9.575052928,8.294299609
22,14400,OWN,0,PERSONAL,B,2100,0.1114,0,0.145833333,N,4,9.575052928,7.650168701
22,84500,RENT,6,PERSONAL,F,25000,0.183,0,0.295857988,N,4,11.34451865,10.1266711
24,85000,RENT,5,MEDICAL,B,25000,0.1062,0,0.294117647,N,4,11.3504183,10.1266711
24,180000,MORTGAGE,7,VENTURE,B,14000,0.1199,0,0.077777778,N,2,12.10071769,9.546884035
26,180000,MORTGAGE,2,VENTURE,B,12000,0.0963,0,0.066666667,N,4,12.10071769,9.392745259
25,142800,MORTGAGE,9,MEDICAL,F,10000,0.1825,1,0.070028011,N,4,11.86920733,9.210440367
23,14664,MORTGAGE,0,DEBTCONSOLIDATION,C,6000,0.1099,1,0.409165303,N,4,9.593218981,8.699681401
