person_age,person_emp_length,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,log_person_income,log_loan_amnt,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file
23,7,0.1171,1,0.416,2,11.04293784,10.16589028,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
23,1,0.1269,0,0.213333333,3,11.69525536,10.15038669,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24,2,0.1357,0,0.129449838,3,9.422301634,7.378383713,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,0,0.1099,1,0.424583333,3,11.00211651,10.14549211,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
25,3,0.1427,0,0.085470085,4,12.36308067,9.903537551,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
24,8,0.0888,0,0.085470085,4,12.36308067,9.903537551,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
26,10,0.1218,0,0.092307692,3,12.36308067,9.980494889,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,6,0.1442,1,0.053845179,3,12.3059406,9.384377709,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
26,0,0.1417,0,0.107526882,2,12.35664981,10.1266711,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
25,5,0.1399,0,0.152173913,4,12.34583894,10.46313191,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23,7,0.1099,1,0.304819277,3,11.32660793,10.1385992,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22,4,0.0542,1,0.158730159,4,9.441531455,7.601402335,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
25,3,0.1361,0,0.138888889,3,9.441531455,7.467942332,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
21,3,0.1273,1,0.588235294,3,10.65728288,10.1266711,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
24,2,0.1099,1,0.609756098,3,10.62135174,10.1266711,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25,0,0.1287,1,0.234082397,4,9.458527694,8.006700845,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
24,1,0.0991,1,0.281635802,3,9.469700127,8.202756382,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
26,4,0.1149,0,0.088495575,4,12.3282947,9.903537551,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,0,0.1991,0,0.133333333,2,12.32386013,10.30898599,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
26,6,0.1065,1,0.164319249,2,12.26905214,10.46313191,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24,0,0.1099,0,0.026666667,4,12.32386013,8.699681401,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
24,0,0.1183,1,0.347222222,4,9.469700127,8.412054873,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
23,0,0.1349,1,0.184672207,2,9.472473841,7.783640596,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
22,6,0.1459,1,0.595238095,2,10.64544871,10.1266711,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
26,2,0.0964,1,0.520833333,4,10.77897712,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,1,0.1459,1,0.27700831,3,9.472473841,8.188966864,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22,1,0.1099,1,0.365497076,3,9.472473841,8.466110401,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,1,0.1635,1,0.590179415,3,10.65398341,10.1266711,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
21,4,0.1099,1,0.510204082,2,10.79959599,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,0,0.1867,0,0.111111111,2,12.32386013,10.1266711,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
26,1,0.0932,0,0.013333333,4,12.32386013,8.006700845,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,8,0.0863,0,0.033333333,2,12.32386013,8.922791624,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2,0.1008,0,0.111111111,2,12.32386013,10.1266711,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
22,5,0.1183,1,0.505418082,3,10.80902063,10.1266711,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
23,1,0.079,1,0.5,3,10.81979828,10.1266711,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25,4,0.0599,1,0.5,2,10.81979828,10.1266711,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
24,2,0.1533,1,0.568181818,2,10.69196764,10.1266711,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
23,1,0.1183,1,0.5,4,10.81979828,10.1266711,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
22,0,0.1036,1,0.499960003,2,10.81987828,10.1266711,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
22,3,0.1223,1,0.499960003,3,10.81987828,10.1266711,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
22,2,0.1111,1,0.480769231,4,10.85901823,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23,3,0.079,1,0.375,4,9.488047863,8.507344855,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
24,1,0.1158,0,0.113636364,2,12.30138737,10.1266711,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23,5,0.089,0,0.097222222,3,12.28303832,9.952325335,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25,2,0.1607,0,0.115740741,3,12.28303832,10.1266711,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
26,10,0.1422,0,0.092592593,2,12.28303832,9.903537551,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
23,7,0.1479,0,0.162790698,3,12.27839796,10.46313191,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
26,11,0.0788,0,0.055813953,2,12.27839796,9.392745259,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,1,0.1322,1,0.480769231,2,10.85901823,10.1266711,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
26,2,0.1186,1,0.543478261,4,10.73641841,10.1266711,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
22,5,0.1343,1,0.471698113,4,10.87806606,10.1266711,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
26,0,0.1528,1,0.531914894,2,10.75792416,10.1266711,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
23,1,0.1793,1,0.531914894,2,10.75792416,10.1266711,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
23,2,0.0925,0,0.106060606,4,9.488047863,7.244941546,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
21,0,0.1298,1,0.340909091,4,9.488047863,8.412054873,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
22,6,0.1062,0,0.076190476,4,12.25486757,9.680406499,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
26,10,0.1183,0,0.104761905,4,12.25486757,9.998843186,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
26,5,0.1843,1,0.520833333,2,10.77897712,10.1266711,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
22,6,0.1099,1,0.454578515,4,10.91503392,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24,4,0.1099,1,0.454545455,4,10.91510665,10.1266711,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
23,4,0.1136,1,0.454545455,3,10.91510665,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23,4,0.1565,1,0.454545455,3,10.91510665,10.1266711,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
24,8,0.1322,1,0.453194112,4,10.91808397,10.1266711,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
26,4,0.1287,1,0.446428571,2,10.93312483,10.1266711,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
24,8,0.1304,0,0.098280098,3,12.2234262,9.903537551,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23,5,0.1758,1,0.115789474,3,12.15478461,9.998843186,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
23,2,0.1704,1,0.556752874,4,9.54115377,8.955577146,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
24,0,0.1099,1,0.416666667,3,11.00211651,10.1266711,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
24,2,0.1111,1,0.416666667,3,11.00211651,10.1266711,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
26,7,0.1483,1,0.462962963,2,10.89675784,10.1266711,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
23,2,0.1099,1,0.285714286,3,9.546884035,8.294299609,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24,8,0.1269,0,0.06,2,12.20607765,9.392745259,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
24,8,0.1349,0,0.06,2,12.20607765,9.392745259,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
21,5,0.1465,0,0.08,4,12.20607765,9.680406499,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
25,3,0.1682,1,0.462962963,4,10.89675784,10.1266711,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
23,3,0.1273,1,0.416666667,3,11.00211651,10.1266711,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
23,7,0.1025,1,0.416666667,4,11.00211651,10.1266711,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
21,6,0.1099,1,0.416666667,4,11.00211651,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,9,0.1273,1,0.403492632,2,11.03424429,10.1266711,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,2,0.1496,1,0.443262411,3,10.94024217,10.1266711,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
23,7,0.1099,0,0.14,2,12.20607765,10.2399955,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,2,0.1399,0,0.125,2,12.20607765,10.1266711,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
24,3,0.0749,0,0.12,4,12.20607765,10.08585078,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
26,4,0.1479,0,0.075,3,12.20607765,9.615872145,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
25,2,0.1199,0,0.0775,2,12.20607765,9.648659817,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24,8,0.0849,0,0.05,4,12.20607765,9.210440367,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
24,3,0.0991,1,0.378787879,2,11.09742517,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22,6,0.1306,1,0.378787879,3,11.09742517,10.1266711,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
22,6,0.0617,0,0.045,4,12.20607765,9.105090961,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25,5,0.1632,0,0.09,3,12.20607765,9.798182591,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25,2,0.1038,0,0.06,2,12.20607765,9.392745259,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
25,9,0.1435,0,0.11525,3,12.20607765,10.04546443,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
24,8,0.1099,0,0.1,3,12.20607765,9.903537551,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24,2,0.1099,1,0.416666667,2,11.00211651,10.1266711,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
21,0,0.1099,1,0.208333333,4,9.575052928,8.006700845,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
26,10,0.1521,1,0.373156606,2,11.11240312,10.1266711,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
23,3,0.079,1,0.373134328,4,11.11246282,10.1266711,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
24,2,0.1099,1,0.373134328,3,11.11246282,10.1266711,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
24,5,0.1409,1,0.367647059,3,11.12727769,10.1266711,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
25,9,0.1749,1,0.362318841,2,11.14187628,10.1266711,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
25,0,0.1148,0,0.06,3,12.20607765,9.392745259,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
26,10,0.1774,1,0.106382979,2,12.14420256,9.903537551,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
26,4,0.1392,0,0.015,3,12.20607765,8.006700845,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
25,9,0.1521,1,0.357163266,3,11.15620766,10.1266711,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
22,2,0.1099,1,0.277777778,3,9.575052928,8.294299609,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
24,3,0.1186,1,0.357142857,4,11.15626481,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24,5,0.0749,1,0.416666667,3,9.575052928,8.699681401,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
24,7,0.1649,1,0.445632799,4,10.93490892,10.1266711,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
25,9,0.1533,1,0.378787879,2,11.09742517,10.1266711,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
26,3,0.1158,1,0.378787879,4,11.09742517,10.1266711,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
