person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,log_person_income,log_loan_amnt,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file
24,203500,8,20000,0.1304,0,0.098280098,3,12.2234262,9.903537551,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23,190000,5,22000,0.1758,1,0.115789474,3,12.15478461,9.998843186,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
23,13920,2,7750,0.1704,1,0.556752874,4,9.54115377,8.955577146,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
24,60000,0,25000,0.1099,1,0.416666667,3,11.00211651,10.1266711,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
24,60000,2,25000,0.1111,1,0.416666667,3,11.00211651,10.1266711,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
26,54000,7,25000,0.1483,1,0.462962963,2,10.89675784,10.1266711,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
23,14000,2,4000,0.1099,1,0.285714286,3,9.546884035,8.294299609,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24,200000,8,12000,0.1269,0,0.06,2,12.20607765,9.392745259,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
24,200000,8,12000,0.1349,0,0.06,2,12.20607765,9.392745259,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
21,200000,5,16000,0.1465,0,0.08,4,12.20607765,9.680406499,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
25,54000,3,25000,0.1682,1,0.462962963,4,10.89675784,10.1266711,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
23,60000,3,25000,0.1273,1,0.416666667,3,11.00211651,10.1266711,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
23,60000,7,25000,0.1025,1,0.416666667,4,11.00211651,10.1266711,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
21,60000,6,25000,0.1099,1,0.416666667,4,11.00211651,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,61959,9,25000,0.1273,1,0.403492632,2,11.03424429,10.1266711,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,56400,2,25000,0.1496,1,0.443262411,3,10.94024217,10.1266711,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
23,200000,7,28000,0.1099,0,0.14,2,12.20607765,10.2399955,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,200000,2,25000,0.1399,0,0.125,2,12.20607765,10.1266711,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
24,200000,3,24000,0.0749,0,0.12,4,12.20607765,10.08585078,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
26,200000,4,15000,0.1479,0,0.075,3,12.20607765,9.615872145,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
25,200000,2,15500,0.1199,0,0.0775,2,12.20607765,9.648659817,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24,200000,8,10000,0.0849,0,0.05,4,12.20607765,9.210440367,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
24,66000,3,25000,0.0991,1,0.378787879,2,11.09742517,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22,66000,6,25000,0.1306,1,0.378787879,3,11.09742517,10.1266711,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
22,200000,6,9000,0.0617,0,0.045,4,12.20607765,9.105090961,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25,200000,5,18000,0.1632,0,0.09,3,12.20607765,9.798182591,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25,200000,2,12000,0.1038,0,0.06,2,12.20607765,9.392745259,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
25,200000,9,23050,0.1435,0,0.11525,3,12.20607765,10.04546443,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
24,200000,8,20000,0.1099,0,0.1,3,12.20607765,9.903537551,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
