person_age,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,log_person_income,log_loan_amnt
24,RENT,4,DEBTCONSOLIDATION,D,0.10990 ,1,0.38,Y,4,11.26447693,10.30898599
23,RENT,7,DEBTCONSOLIDATION,F,0.18620 ,1,0.38,Y,3,11.26447693,10.30898599
23,RENT,6,PERSONAL,C,0.15230 ,1,0.33,Y,3,11.4295982,10.30898599
23,RENT,7,VENTURE,B,0.10650 ,1,0.31,N,2,11.48247657,10.30898599
25,RENT,9,EDUCATION,A,0.07900 ,0,0.25,N,4,11.69525536,10.30898599
26,RENT,4,PERSONAL,C,0.15960 ,0,0.04,Y,3,12.54254845,9.210440367
26,RENT,0,VENTURE,B,0.11480 ,0,0.07,N,3,12.53215177,9.903537551
23,OWN,3,PERSONAL,A,0.10990 ,0,0.13,N,4,12.5317764,10.46313191
25,RENT,9,PERSONAL,A,0.07290 ,0,0.23,N,4,11.75979336,10.30898599
24,OWN,2,VENTURE,E,0.10990 ,0,0.15,Y,3,9.392745259,7.467942332
21,RENT,0,VENTURE,A,0.05990 ,0,0.23,N,4,11.78296024,10.30898599
22,OWN,6,VENTURE,B,0.11580 ,0,0.04,N,2,12.52453001,9.392745259
26,MORTGAGE,0,EDUCATION,B,0.10990 ,1,0.04,N,4,12.47991311,9.210440367
25,MORTGAGE,9,MEDICAL,D,0.15700 ,1,0.1,N,2,12.30976126,10.1266711
22,RENT,6,EDUCATION,D,0.15990 ,1,0.42,N,3,11.15626481,10.27852782
22,MORTGAGE,7,EDUCATION,D,0.14840 ,0,0.13,Y,3,9.392745259,7.313886832
26,OWN,10,HOMEIMPROVEMENT,B,0.10990 ,0,0.11,N,3,12.46844076,10.2399955
25,MORTGAGE,9,HOMEIMPROVEMENT,D,0.14420 ,0,0.08,Y,2,12.4645872,9.903537551
24,MORTGAGE,9,EDUCATION,A,0.06990 ,0,0.04,N,2,12.44902275,9.169622539
25,RENT,2,MEDICAL,C,0.13490 ,0,0.1,N,4,12.4292202,10.1266711
25,OWN,0,MEDICAL,C,0.10990 ,1,0.25,N,3,9.392745259,8.006700845
22,RENT,6,MEDICAL,A,0.10990 ,1,0.49,N,2,10.94994653,10.2399955
21,OWN,6,EDUCATION,C,0.13610 ,1,0.25,Y,3,9.392745259,8.006700845
23,RENT,2,EDUCATION,A,0.07900 ,1,0.43,N,2,11.08215793,10.2399955
26,RENT,2,VENTURE,A,0.07490 ,1,0.33,N,3,11.3504183,10.2399955
26,OWN,2,EDUCATION,A,0.07510 ,1,0.51,N,3,9.392745259,8.716207971
22,RENT,6,VENTURE,B,0.09910 ,1,0.32,N,3,11.38510346,10.2399955
21,OWN,0,PERSONAL,C,0.13480 ,1,0.35,Y,4,9.392745259,8.343077871
22,OWN,6,DEBTCONSOLIDATION,A,0.07140 ,1,0.4,N,2,9.392745259,8.466110401
24,RENT,0,VENTURE,D,0.15990 ,1,0.34,Y,4,11.32665613,10.2399955
24,RENT,2,EDUCATION,C,0.12980 ,0,0.07,Y,3,12.4292202,9.798182591
25,RENT,5,DEBTCONSOLIDATION,B,0.12690 ,0,0.28,N,3,11.51293546,10.2399955
26,RENT,10,EDUCATION,A,0.08900 ,0,0.25,N,2,11.60824474,10.2399955
26,OWN,0,DEBTCONSOLIDATION,A,0.10990 ,1,0.23,N,4,9.392745259,7.901377354
22,RENT,6,EDUCATION,B,0.10990 ,1,0.26,N,4,11.58989577,10.2399955
23,RENT,7,DEBTCONSOLIDATION,B,0.11110 ,0,0.19,N,2,11.92636536,10.2399955
24,RENT,2,HOMEIMPROVEMENT,A,0.10990 ,1,0.4,N,2,11.14187628,10.22560728
21,MORTGAGE,5,DEBTCONSOLIDATION,E,0.15680 ,1,0.27,Y,3,9.392745259,8.08671792
22,RENT,4,EDUCATION,C,0.13060 ,1,0.39,Y,3,11.15626481,10.22197765
22,OWN,6,PERSONAL,B,0.10990 ,0,0.1,N,2,12.38839837,10.1266711
26,RENT,5,VENTURE,D,0.15620 ,1,0.37,Y,2,11.20096436,10.20547925
24,RENT,5,PERSONAL,C,0.13490 ,1,0.33,Y,2,11.32660793,10.20362918
24,RENT,0,VENTURE,D,0.10990 ,1,0.37,N,3,11.20367921,10.20362918
23,RENT,7,MEDICAL,B,0.11710 ,1,0.42,N,2,11.04293784,10.16589028
23,RENT,1,EDUCATION,B,0.12690 ,0,0.21,N,3,11.69525536,10.15038669
24,OWN,2,MEDICAL,C,0.13570 ,0,0.13,N,3,9.422301634,7.378383713
22,RENT,0,VENTURE,B,0.10990 ,1,0.42,N,3,11.00211651,10.14549211
25,MORTGAGE,3,MEDICAL,C,0.14270 ,0,0.09,Y,4,12.36308067,9.903537551
24,OWN,8,HOMEIMPROVEMENT,B,0.08880 ,0,0.09,N,4,12.36308067,9.903537551
26,MORTGAGE,10,HOMEIMPROVEMENT,B,0.12180 ,0,0.09,N,3,12.36308067,9.980494889
25,MORTGAGE,6,DEBTCONSOLIDATION,D,0.14420 ,1,0.05,Y,3,12.3059406,9.384377709
26,MORTGAGE,0,MEDICAL,C,0.14170 ,0,0.11,Y,2,12.35664981,10.1266711
25,MORTGAGE,5,MEDICAL,C,0.13990 ,0,0.15,N,4,12.34583894,10.46313191
23,RENT,7,EDUCATION,B,0.10990 ,1,0.3,N,3,11.32660793,10.1385992
22,MORTGAGE,4,PERSONAL,A,0.05420 ,1,0.16,N,4,9.441531455,7.601402335
25,OWN,3,PERSONAL,C,0.13610 ,0,0.14,N,3,9.441531455,7.467942332
21,RENT,3,EDUCATION,C,0.12730 ,1,0.59,Y,3,10.65728288,10.1266711
24,RENT,2,HOMEIMPROVEMENT,D,0.10990 ,1,0.61,N,3,10.62135174,10.1266711
25,OWN,0,DEBTCONSOLIDATION,C,0.12870 ,1,0.23,Y,4,9.458527694,8.006700845
24,MORTGAGE,1,HOMEIMPROVEMENT,B,0.09910 ,1,0.28,N,3,9.469700127,8.202756382
26,MORTGAGE,4,HOMEIMPROVEMENT,B,0.11490 ,0,0.09,N,4,12.3282947,9.903537551
25,MORTGAGE,0,HOMEIMPROVEMENT,E,0.19910 ,0,0.13,Y,2,12.32386013,10.30898599
26,MORTGAGE,6,EDUCATION,B,0.10650 ,1,0.16,N,2,12.26905214,10.46313191
24,RENT,0,MEDICAL,B,0.10990 ,0,0.03,N,4,12.32386013,8.699681401
24,MORTGAGE,0,DEBTCONSOLIDATION,B,0.11830 ,1,0.35,N,4,9.469700127,8.412054873
23,OWN,0,DEBTCONSOLIDATION,C,0.13490 ,1,0.18,Y,2,9.472473841,7.783640596
22,RENT,6,MEDICAL,D,0.14590 ,1,0.6,Y,2,10.64544871,10.1266711
26,RENT,2,EDUCATION,B,0.09640 ,1,0.52,N,4,10.77897712,10.1266711
25,OWN,1,MEDICAL,D,0.14590 ,1,0.28,N,3,9.472473841,8.188966864
22,OWN,1,EDUCATION,B,0.10990 ,1,0.37,N,3,9.472473841,8.466110401
25,RENT,1,EDUCATION,E,0.16350 ,1,0.59,Y,3,10.65398341,10.1266711
21,RENT,4,EDUCATION,B,0.10990 ,1,0.51,N,2,10.79959599,10.1266711
25,MORTGAGE,0,VENTURE,F,0.18670 ,0,0.11,N,2,12.32386013,10.1266711
26,RENT,1,EDUCATION,A,0.09320 ,0,0.01,N,4,12.32386013,8.006700845
23,RENT,8,DEBTCONSOLIDATION,A,0.08630 ,0,0.03,N,2,12.32386013,8.922791624
26,MORTGAGE,2,VENTURE,B,0.10080 ,0,0.11,N,2,12.32386013,10.1266711
22,RENT,5,PERSONAL,B,0.11830 ,1,0.51,N,3,10.80902063,10.1266711
23,RENT,1,DEBTCONSOLIDATION,A,0.07900 ,1,0.5,N,3,10.81979828,10.1266711
25,RENT,4,HOMEIMPROVEMENT,A,0.05990 ,1,0.5,N,2,10.81979828,10.1266711
24,RENT,2,DEBTCONSOLIDATION,D,0.15330 ,1,0.57,N,2,10.69196764,10.1266711
23,RENT,1,VENTURE,B,0.11830 ,1,0.5,N,4,10.81979828,10.1266711
22,RENT,0,VENTURE,B,0.10360 ,1,0.5,N,2,10.81987828,10.1266711
22,RENT,3,VENTURE,C,0.12230 ,1,0.5,N,3,10.81987828,10.1266711
22,RENT,2,EDUCATION,B,0.11110 ,1,0.48,N,4,10.85901823,10.1266711
23,OWN,3,DEBTCONSOLIDATION,A,0.07900 ,1,0.38,N,4,9.488047863,8.507344855
24,MORTGAGE,1,EDUCATION,B,0.11580 ,0,0.11,N,2,12.30138737,10.1266711
23,MORTGAGE,5,DEBTCONSOLIDATION,A,0.08900 ,0,0.1,N,3,12.28303832,9.952325335
25,MORTGAGE,2,EDUCATION,D,0.16070 ,0,0.12,N,3,12.28303832,10.1266711
26,MORTGAGE,10,EDUCATION,C,0.14220 ,0,0.09,Y,2,12.28303832,9.903537551
23,MORTGAGE,7,MEDICAL,C,0.14790 ,0,0.16,Y,3,12.27839796,10.46313191
26,MORTGAGE,11,EDUCATION,A,0.07880 ,0,0.06,N,2,12.27839796,9.392745259
23,RENT,1,PERSONAL,C,0.13220 ,1,0.48,N,2,10.85901823,10.1266711
26,RENT,2,DEBTCONSOLIDATION,D,0.11860 ,1,0.54,N,4,10.73641841,10.1266711
22,RENT,5,EDUCATION,C,0.13430 ,1,0.47,Y,4,10.87806606,10.1266711
26,RENT,0,HOMEIMPROVEMENT,D,0.15280 ,1,0.53,Y,2,10.75792416,10.1266711
23,RENT,1,VENTURE,E,0.17930 ,1,0.53,N,2,10.75792416,10.1266711
23,MORTGAGE,2,EDUCATION,B,0.09250 ,0,0.11,N,4,9.488047863,7.244941546
21,OWN,0,VENTURE,C,0.12980 ,1,0.34,N,4,9.488047863,8.412054873
22,MORTGAGE,6,VENTURE,B,0.10620 ,0,0.08,N,4,12.25486757,9.680406499
26,OWN,10,PERSONAL,B,0.11830 ,0,0.1,N,4,12.25486757,9.998843186
26,RENT,5,VENTURE,F,0.18430 ,1,0.52,N,2,10.77897712,10.1266711
22,RENT,6,EDUCATION,B,0.10990 ,1,0.45,N,4,10.91503392,10.1266711
24,RENT,4,HOMEIMPROVEMENT,D,0.10990 ,1,0.45,Y,4,10.91510665,10.1266711
23,RENT,4,EDUCATION,B,0.11360 ,1,0.45,N,3,10.91510665,10.1266711
23,RENT,4,EDUCATION,D,0.15650 ,1,0.45,Y,3,10.91510665,10.1266711
24,RENT,8,PERSONAL,C,0.13220 ,1,0.45,Y,4,10.91808397,10.1266711
26,RENT,4,DEBTCONSOLIDATION,C,0.12870 ,1,0.45,N,2,10.93312483,10.1266711
24,OWN,8,MEDICAL,C,0.13040 ,0,0.1,N,3,12.2234262,9.903537551
23,MORTGAGE,5,EDUCATION,F,0.17580 ,1,0.12,Y,3,12.15478461,9.998843186
23,OWN,2,PERSONAL,E,0.17040 ,1,0.56,N,4,9.54115377,8.955577146
24,RENT,0,PERSONAL,B,0.10990 ,1,0.42,N,3,11.00211651,10.1266711
24,RENT,2,PERSONAL,B,0.11110 ,1,0.42,N,3,11.00211651,10.1266711
26,RENT,7,DEBTCONSOLIDATION,D,0.14830 ,1,0.46,Y,2,10.89675784,10.1266711
23,OWN,2,DEBTCONSOLIDATION,D,0.10990 ,1,0.29,N,3,9.546884035,8.294299609
24,RENT,8,MEDICAL,B,0.12690 ,0,0.06,N,2,12.20607765,9.392745259
24,MORTGAGE,8,HOMEIMPROVEMENT,C,0.13490 ,0,0.06,N,2,12.20607765,9.392745259
21,MORTGAGE,5,EDUCATION,C,0.14650 ,0,0.08,N,4,12.20607765,9.680406499
25,RENT,3,HOMEIMPROVEMENT,E,0.16820 ,1,0.46,N,4,10.89675784,10.1266711
23,RENT,3,PERSONAL,C,0.12730 ,1,0.42,N,3,11.00211651,10.1266711
23,RENT,7,PERSONAL,B,0.10250 ,1,0.42,N,4,11.00211651,10.1266711
21,RENT,6,EDUCATION,B,0.10990 ,1,0.42,N,4,11.00211651,10.1266711
25,RENT,9,MEDICAL,C,0.12730 ,1,0.4,N,2,11.03424429,10.1266711
22,RENT,2,HOMEIMPROVEMENT,D,0.14960 ,1,0.44,Y,3,10.94024217,10.1266711
23,MORTGAGE,7,EDUCATION,A,0.10990 ,0,0.14,N,2,12.20607765,10.2399955
21,MORTGAGE,2,DEBTCONSOLIDATION,C,0.13990 ,0,0.13,N,2,12.20607765,10.1266711
24,MORTGAGE,3,VENTURE,A,0.07490 ,0,0.12,N,4,12.20607765,10.08585078
26,MORTGAGE,4,EDUCATION,C,0.14790 ,0,0.07,N,3,12.20607765,9.615872145
25,MORTGAGE,2,DEBTCONSOLIDATION,B,0.11990 ,0,0.08,N,2,12.20607765,9.648659817
24,RENT,8,EDUCATION,A,0.08490 ,0,0.05,N,4,12.20607765,9.210440367
24,RENT,3,EDUCATION,B,0.09910 ,1,0.38,N,2,11.09742517,10.1266711
22,RENT,6,EDUCATION,C,0.13060 ,1,0.38,Y,3,11.09742517,10.1266711
22,MORTGAGE,6,DEBTCONSOLIDATION,A,0.06170 ,0,0.04,N,4,12.20607765,9.105090961
25,RENT,5,EDUCATION,D,0.16320 ,0,0.09,N,3,12.20607765,9.798182591
25,MORTGAGE,2,VENTURE,B,0.10380 ,0,0.06,N,2,12.20607765,9.392745259
25,MORTGAGE,9,PERSONAL,C,0.14350 ,0,0.12,N,3,12.20607765,10.04546443
24,MORTGAGE,8,DEBTCONSOLIDATION,B,0.10990 ,0,0.1,N,3,12.20607765,9.903537551
24,RENT,2,DEBTCONSOLIDATION,E,0.10990 ,1,0.42,Y,2,11.00211651,10.1266711
21,OWN,0,HOMEIMPROVEMENT,B,0.10990 ,1,0.21,N,4,9.575052928,8.006700845
26,RENT,10,PERSONAL,D,0.15210 ,1,0.37,Y,2,11.11240312,10.1266711
23,RENT,3,EDUCATION,A,0.07900 ,1,0.37,N,4,11.11246282,10.1266711
24,RENT,2,VENTURE,B,0.10990 ,1,0.37,N,3,11.11246282,10.1266711
24,RENT,5,PERSONAL,D,0.14090 ,1,0.37,Y,3,11.12727769,10.1266711
25,RENT,9,PERSONAL,D,0.17490 ,1,0.36,N,2,11.14187628,10.1266711
25,MORTGAGE,0,EDUCATION,B,0.11480 ,0,0.06,N,3,12.20607765,9.392745259
26,MORTGAGE,10,VENTURE,E,0.17740 ,1,0.11,N,2,12.14420256,9.903537551
26,MORTGAGE,4,PERSONAL,C,0.13920 ,0,0.01,N,3,12.20607765,8.006700845
25,RENT,9,EDUCATION,D,0.15210 ,1,0.36,N,3,11.15620766,10.1266711
22,OWN,2,MEDICAL,B,0.10990 ,1,0.28,N,3,9.575052928,8.294299609
24,RENT,3,EDUCATION,B,0.11860 ,1,0.36,N,4,11.15626481,10.1266711
24,OWN,5,PERSONAL,A,0.07490 ,1,0.42,N,3,9.575052928,8.699681401
24,RENT,7,MEDICAL,D,0.16490 ,1,0.38,N,4,10.93490892,10.1266711
25,RENT,9,VENTURE,D,0.15330 ,1,0.38,Y,2,11.09742517,10.1266711
26,RENT,3,HOMEIMPROVEMENT,B,0.11580 ,1,0.38,N,4,11.09742517,10.1266711
25,OWN,7,EDUCATION,A,0.05790 ,1,0.37,N,2,9.575052928,8.589699882
25,RENT,9,MEDICAL,C,0.13110 ,1,0.34,N,2,11.19289925,10.1266711
23,RENT,3,MEDICAL,B,0.10360 ,1,0.34,N,3,11.21183389,10.1266711
25,RENT,9,DEBTCONSOLIDATION,B,0.10360 ,1,0.33,N,2,11.22525673,10.1266711
24,RENT,0,MEDICAL,C,0.10990 ,0,0.11,Y,2,12.16525586,9.998843186
25,MORTGAGE,1,MEDICAL,B,0.12530 ,0,0.05,N,4,12.16003394,9.210440367
26,MORTGAGE,5,PERSONAL,A,0.10990 ,0,0.08,N,3,12.15636231,9.615872145
22,MORTGAGE,3,VENTURE,C,0.10990 ,0,0.05,N,3,12.15478461,9.210440367
24,RENT,4,EDUCATION,B,0.10250 ,1,0.33,N,4,11.22525673,10.1266711
22,RENT,1,EDUCATION,D,0.15950 ,1,0.35,Y,4,11.17044924,10.1266711
26,MORTGAGE,3,VENTURE,B,0.12180 ,0,0.11,N,4,12.15478461,9.903537551
23,OWN,0,PERSONAL,B,0.11830 ,0,0.13,N,3,12.15476356,10.08585078
23,RENT,7,DEBTCONSOLIDATION,C,0.10990 ,1,0.32,Y,2,11.26447693,10.1266711
23,RENT,1,VENTURE,B,0.10620 ,1,0.32,N,3,11.26447693,10.1266711
23,RENT,7,VENTURE,B,0.10740 ,1,0.32,N,3,11.2709176,10.1266711
25,OWN,9,VENTURE,B,0.10250 ,0,0.05,N,4,12.13350733,9.210440367
24,MORTGAGE,4,EDUCATION,B,0.12420 ,0,0.19,N,2,12.12811651,10.46313191
25,RENT,6,VENTURE,C,0.15270 ,0,0.08,N,2,12.12811651,9.615872145
24,RENT,8,MEDICAL,D,0.15330 ,1,0.34,Y,2,11.03571191,10.1266711
23,RENT,7,VENTURE,D,0.15210 ,1,0.31,Y,2,11.28246773,10.1266711
21,OWN,4,VENTURE,C,0.14720 ,1,0.43,N,2,9.575052928,8.74049673
24,RENT,8,PERSONAL,D,0.15700 ,1,0.31,Y,2,11.2851713,10.1266711
24,RENT,0,EDUCATION,C,0.13350 ,1,0.31,N,4,11.28518386,10.1266711
21,MORTGAGE,0,MEDICAL,C,0.10990 ,0,0.1,N,4,9.575052928,7.313886832
24,RENT,6,EDUCATION,A,0.06620 ,1,0.31,N,2,11.28979441,10.1266711
26,RENT,5,DEBTCONSOLIDATION,C,0.13610 ,1,0.31,N,4,11.28979441,10.1266711
22,RENT,4,MEDICAL,B,0.11360 ,0,0.14,N,2,12.12811651,10.1266711
26,OWN,10,PERSONAL,A,0.07680 ,0,0.03,N,2,12.12811651,8.517393171
24,RENT,7,HOMEIMPROVEMENT,D,0.14460 ,0,0.12,Y,4,12.12807327,9.998843186
23,OWN,5,EDUCATION,B,0.11830 ,0,0.01,N,2,12.12269647,7.824445931
24,MORTGAGE,6,DEBTCONSOLIDATION,C,0.13470 ,1,0.12,Y,4,12.05525557,9.903537551
24,MORTGAGE,2,MEDICAL,B,0.11490 ,0,0.11,N,3,12.1172469,9.903537551
22,MORTGAGE,3,EDUCATION,A,0.10990 ,0,0.01,N,2,12.1172469,6.908754779
25,MORTGAGE,9,PERSONAL,A,0.06030 ,0,0.08,N,3,12.11698457,9.615872145
23,RENT,7,DEBTCONSOLIDATION,E,0.16350 ,1,0.34,N,4,11.21188794,10.1266711
26,RENT,10,DEBTCONSOLIDATION,D,0.10990 ,1,0.34,Y,4,11.21188794,10.1266711
25,RENT,5,DEBTCONSOLIDATION,A,0.07290 ,1,0.31,N,3,11.30221678,10.1266711
23,RENT,1,MEDICAL,B,0.11360 ,1,0.31,N,3,11.3095968,10.1266711
24,RENT,8,VENTURE,B,0.10250 ,0,0.3,N,2,11.31448672,10.1266711
24,RENT,5,EDUCATION,B,0.11120 ,0,0.3,N,3,11.32660793,10.1266711
24,RENT,5,PERSONAL,D,0.12920 ,0,0.3,Y,3,11.32660793,10.1266711
24,RENT,8,EDUCATION,E,0.18640 ,0,0.1,Y,4,12.10071769,9.798182591
23,MORTGAGE,8,PERSONAL,A,0.07510 ,0,0.16,N,3,12.10071769,10.2399955
23,OWN,2,HOMEIMPROVEMENT,E,0.16700 ,1,0.28,N,2,9.575052928,8.294299609
22,OWN,0,PERSONAL,B,0.11140 ,0,0.15,N,4,9.575052928,7.650168701
22,RENT,6,PERSONAL,F,0.18300 ,0,0.3,N,4,11.34451865,10.1266711
24,RENT,5,MEDICAL,B,0.10620 ,0,0.29,N,4,11.3504183,10.1266711
24,MORTGAGE,7,VENTURE,B,0.11990 ,0,0.08,N,2,12.10071769,9.546884035
26,MORTGAGE,2,VENTURE,B,0.09630 ,0,0.07,N,4,12.10071769,9.392745259
25,MORTGAGE,9,MEDICAL,F,0.18250 ,1,0.06,N,4,11.86920733,9.210440367
23,MORTGAGE,0,DEBTCONSOLIDATION,C,0.10990 ,1,0.41,N,4,9.593218981,8.699681401
24,RENT,8,HOMEIMPROVEMENT,D,0.14840 ,0,0.29,N,3,11.37367489,10.1266711
24,RENT,0,VENTURE,E,0.14700 ,1,0.33,Y,3,11.22525673,10.1266711
23,RENT,7,DEBTCONSOLIDATION,D,0.16020 ,1,0.33,N,4,11.23850178,10.1266711
23,RENT,1,MEDICAL,D,0.15370 ,1,0.32,Y,2,11.1006774,10.1266711
25,RENT,9,MEDICAL,B,0.10990 ,0,0.28,N,4,11.40757606,10.1266711
21,OWN,0,HOMEIMPROVEMENT,A,0.07900 ,1,0.41,N,2,9.615872145,8.732465848
26,OWN,2,PERSONAL,B,0.10990 ,0,0.14,N,4,12.10071769,10.1266711
24,OWN,8,EDUCATION,B,0.11480 ,0,0.12,N,3,12.10071769,9.952325335
25,OWN,9,MEDICAL,C,0.14260 ,0,0.11,Y,4,12.10071769,9.903537551
26,OWN,0,HOMEIMPROVEMENT,A,0.08000 ,0,0.06,N,4,12.10071769,9.210440367
25,MORTGAGE,3,VENTURE,B,0.11260 ,0,0.06,N,2,12.10071769,9.205428328
23,OWN,7,MEDICAL,B,0.10990 ,1,0.3,N,4,9.615872145,8.406485069
23,RENT,2,VENTURE,D,0.16320 ,1,0.32,Y,3,11.26447693,10.1266711
25,RENT,3,MEDICAL,E,0.17930 ,1,0.32,Y,4,11.10196026,10.1266711
23,RENT,0,DEBTCONSOLIDATION,B,0.11360 ,0,0.28,N,3,11.40757606,10.1266711
24,RENT,9,DEBTCONSOLIDATION,D,0.14960 ,1,0.32,Y,4,11.27721579,10.1266711
24,RENT,4,PERSONAL,C,0.13430 ,0,0.27,Y,3,11.42737847,10.1266711
25,RENT,6,HOMEIMPROVEMENT,B,0.12690 ,0,0.27,N,3,11.42955473,10.1266711
24,RENT,1,VENTURE,C,0.12730 ,0,0.27,Y,4,11.42955473,10.1266711
23,RENT,3,VENTURE,D,0.15210 ,0,0.27,N,4,11.44679635,10.1266711
23,MORTGAGE,1,MEDICAL,C,0.12680 ,0,0.12,Y,3,9.615872145,7.467942332
23,RENT,3,MEDICAL,F,0.19040 ,1,0.3,Y,4,11.16409113,10.1266711
25,RENT,2,DEBTCONSOLIDATION,D,0.15950 ,1,0.3,Y,3,11.33620022,10.1266711
26,MORTGAGE,3,VENTURE,A,0.08900 ,0,0.01,N,4,12.07254697,7.863651265
25,MORTGAGE,10,HOMEIMPROVEMENT,A,0.07900 ,0,0.05,N,2,12.07254697,8.987321813
22,MORTGAGE,6,EDUCATION,B,0.10990 ,0,0.1,N,2,12.07254697,9.798182591
23,MORTGAGE,8,PERSONAL,B,0.11990 ,0,0.12,N,3,12.07254697,9.952325335
23,OWN,4,DEBTCONSOLIDATION,C,0.13980 ,1,0.27,N,4,9.615872145,8.294299609
23,OWN,4,VENTURE,B,0.10990 ,1,0.31,N,2,9.615872145,8.43402895
