person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file,log_person_income,log_loan_amnt
26,300000,0.0,25000,0.1533,0,0.08,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12.611541086966115,10.12667110305036
25,300000,9.0,18000,0.16449999999999998,0,0.06,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12.611541086966115,9.798182590890704
26,80690,8.0,30000,0.07490000000000001,1,0.37,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.29838232387519,10.308985993422082
22,66300,4.0,30000,0.12689999999999999,1,0.38,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11.101960259016467,10.308985993422082
26,89028,0.0,30000,0.0662,1,0.34,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11.396717438335704,10.308985993422082
24,78000,4.0,30000,0.1099,1,0.38,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,11.264476926102367,10.308985993422082
23,78000,7.0,30000,0.1862,1,0.38,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11.264476926102367,10.308985993422082
23,92004,6.0,30000,0.1523,1,0.33,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,11.429598202380475,10.308985993422082
23,97000,7.0,30000,0.1065,1,0.31,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11.48247656671073,10.308985993422082
25,120000,9.0,30000,0.079,0,0.25,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11.695255355062795,10.308985993422082
26,280000,4.0,10000,0.15960000000000002,0,0.04,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,12.54254845357358,9.210440366976517
26,277104,0.0,20000,0.1148,0,0.07,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12.532151774715706,9.90353755128617
23,277000,3.0,35000,0.1099,0,0.13,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,12.531776395271262,10.463131911491967
25,128000,9.0,30000,0.0729,0,0.23,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.759793355371237,10.308985993422082
24,12000,2.0,1750,0.1099,0,0.15,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,9.392745258631441,7.467942332285852
21,131000,0.0,30000,0.0599,0,0.23,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11.782960235741939,10.308985993422082
22,275000,6.0,12000,0.1158,0,0.04,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12.524530013005734,9.392745258631441
26,263000,0.0,10000,0.1099,1,0.04,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12.479913113434042,9.210440366976517
25,221850,9.0,25000,0.157,1,0.1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12.309761264347044,10.12667110305036
22,70000,6.0,29100,0.15990000000000001,1,0.42,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11.156264806643742,10.278527816830314
22,12000,7.0,1500,0.1484,0,0.13,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,9.392745258631441,7.313886831633462
26,260000,10.0,28000,0.1099,0,0.11,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12.468440756144114,10.239995502805316
25,259000,9.0,20000,0.1442,0,0.08,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,12.464587201678082,9.90353755128617
24,255000,9.0,9600,0.0699,0,0.04,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12.449022745701502,9.169622538697624
25,250000,2.0,25000,0.1349,0,0.1,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12.429220196836383,10.12667110305036
25,12000,0.0,3000,0.1099,1,0.25,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9.392745258631441,8.006700845440367
22,56950,6.0,28000,0.1099,1,0.49,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10.949946527983677,10.239995502805316
21,12000,6.0,3000,0.1361,1,0.25,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,9.392745258631441,8.006700845440367
23,65000,2.0,28000,0.079,1,0.43,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11.082157933374816,10.239995502805316
26,85000,2.0,28000,0.07490000000000001,1,0.33,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11.350418300109132,10.239995502805316
26,12000,2.0,6100,0.0751,1,0.51,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.392745258631441,8.716207971151853
22,88000,6.0,28000,0.09910000000000001,1,0.32,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11.385103457032141,10.239995502805316
21,12000,0.0,4200,0.1348,1,0.35,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,9.392745258631441,8.343077871169383
22,12000,6.0,4750,0.07139999999999999,1,0.4,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9.392745258631441,8.46611040118692
24,83004,0.0,28000,0.15990000000000001,1,0.34,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,11.326656125928176,10.239995502805316
24,250000,2.0,18000,0.1298,0,0.07,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,12.429220196836383,9.798182590890704
25,100000,5.0,28000,0.12689999999999999,0,0.28,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11.51293546492023,10.239995502805316
26,110000,10.0,28000,0.08900000000000001,0,0.25,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11.608244735642321,10.239995502805316
26,12000,0.0,2700,0.1099,1,0.23,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9.392745258631441,7.901377353792616
22,108000,6.0,28000,0.1099,1,0.26,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11.58989576532275,10.239995502805316
23,151200,7.0,28000,0.11109999999999999,0,0.19,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11.926365356462313,10.239995502805316
24,69000,2.0,27600,0.1099,1,0.4,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11.141876276228,10.225607282932941
21,12000,5.0,3250,0.1568,1,0.27,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,9.392745258631441,8.086717920303906
22,70000,4.0,27500,0.1306,1,0.39,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,11.156264806643742,10.221977646629885
22,240000,6.0,25000,0.1099,0,0.1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12.388398368982115,10.12667110305036
26,73200,5.0,27050,0.1562,1,0.37,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,11.200964361058276,10.205479252168017
24,83000,5.0,27000,0.1349,1,0.33,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,11.326607934898927,10.203629181337648
24,73399,0.0,27000,0.1099,1,0.37,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11.203679214602607,10.203629181337648
23,62500,7.0,26000,0.11710000000000001,1,0.42,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11.042937835596494,10.165890277802454
23,120000,1.0,25600,0.12689999999999999,0,0.21,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11.695255355062795,10.150386692204734
24,12360,2.0,1600,0.13570000000000002,0,0.13,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9.422301633887823,7.3783837129967145
22,60000,0.0,25475,0.1099,1,0.42,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11.002116507732017,10.145492111491256
25,234000,3.0,20000,0.1427,0,0.09,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,12.36308066783498,9.90353755128617
24,234000,8.0,20000,0.0888,0,0.09,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12.36308066783498,9.90353755128617
26,234000,10.0,21600,0.12179999999999999,0,0.09,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12.36308066783498,9.980494888896912
25,221004,6.0,11900,0.1442,1,0.05,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12.30594060467835,9.38437770918244
26,232500,0.0,25000,0.1417,0,0.11,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,12.356649805075568,10.12667110305036
25,230000,5.0,35000,0.1399,0,0.15,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12.345838935721968,10.463131911491967
23,83000,7.0,25300,0.1099,1,0.3,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11.326607934898927,10.138599199626192
22,12600,4.0,2000,0.0542,1,0.16,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.441531454869693,7.601402334583733
25,12600,3.0,1750,0.1361,0,0.14,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9.441531454869693,7.467942332285852
21,42500,3.0,25000,0.1273,1,0.59,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,10.657282884047461,10.12667110305036
24,41000,2.0,25000,0.1099,1,0.61,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10.62135173563291,10.12667110305036
25,12816,0.0,3000,0.12869999999999998,1,0.23,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,9.458527693729824,8.006700845440367
24,12960,1.0,3650,0.09910000000000001,1,0.28,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9.469700127423375,8.202756381655638
26,226000,4.0,20000,0.1149,0,0.09,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12.328294703023394,9.90353755128617
25,225000,0.0,30000,0.1991,0,0.13,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,12.323860125621126,10.308985993422082
26,213000,6.0,35000,0.1065,1,0.16,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12.269052139516223,10.463131911491967
24,225000,0.0,6000,0.1099,0,0.03,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12.323860125621126,8.699681400989514
24,12960,0.0,4500,0.1183,1,0.35,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9.469700127423375,8.412054873292933
23,12996,0.0,2400,0.1349,1,0.18,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,9.47247384058159,7.783640596221253
22,42000,6.0,25000,0.1459,1,0.6,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,10.645448706505872,10.12667110305036
26,48000,2.0,25000,0.0964,1,0.52,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10.778977123006351,10.12667110305036
25,12996,1.0,3600,0.1459,1,0.28,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9.47247384058159,8.188966863648876
22,12996,1.0,4750,0.1099,1,0.37,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9.47247384058159,8.46611040118692
25,42360,1.0,25000,0.1635,1,0.59,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,10.65398340661328,10.12667110305036
21,49000,4.0,25000,0.1099,1,0.51,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10.799595985047786,10.12667110305036
25,225000,0.0,25000,0.1867,0,0.11,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12.323860125621126,10.12667110305036
26,225000,1.0,3000,0.0932,0,0.01,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12.323860125621126,8.006700845440367
23,225000,8.0,7500,0.0863,0,0.03,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12.323860125621126,8.922791623969637
26,225000,2.0,25000,0.1008,0,0.11,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12.323860125621126,10.12667110305036
22,49464,5.0,25000,0.1183,1,0.51,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10.809020627757324,10.12667110305036
23,50000,1.0,25000,0.079,1,0.5,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.819798284210286,10.12667110305036
25,50000,4.0,25000,0.0599,1,0.5,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10.819798284210286,10.12667110305036
24,44000,2.0,25000,0.1533,1,0.57,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.691967639914864,10.12667110305036
23,50000,1.0,25000,0.1183,1,0.5,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10.819798284210286,10.12667110305036
22,50004,0.0,25000,0.1036,1,0.5,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10.819878279410617,10.12667110305036
22,50004,3.0,25000,0.1223,1,0.5,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10.819878279410617,10.12667110305036
22,52000,2.0,25000,0.11109999999999999,1,0.48,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10.859018228147887,10.12667110305036
23,13200,3.0,4950,0.079,1,0.38,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9.488047863280759,8.507344855361422
24,220000,1.0,25000,0.1158,0,0.11,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12.301387370778713,10.12667110305036
23,216000,5.0,21000,0.08900000000000001,0,0.1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12.283038316285214,9.952325334619427
25,216000,2.0,25000,0.1607,0,0.12,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12.283038316285214,10.12667110305036
26,216000,10.0,20000,0.1422,0,0.09,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,12.283038316285214,9.90353755128617
23,215000,7.0,35000,0.1479,0,0.16,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,12.278397958261774,10.463131911491967
26,215000,11.0,12000,0.0788,0,0.06,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12.278397958261774,9.392745258631441
23,52000,1.0,25000,0.1322,1,0.48,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10.859018228147887,10.12667110305036
26,46000,2.0,25000,0.1186,1,0.54,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.736418414365376,10.12667110305036
22,53000,5.0,25000,0.1343,1,0.47,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,10.87806606028079,10.12667110305036
26,47000,0.0,25000,0.1528,1,0.53,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,10.757924157061597,10.12667110305036
23,47000,1.0,25000,0.1793,1,0.53,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10.757924157061597,10.12667110305036
23,13200,2.0,1400,0.0925,0,0.11,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9.488047863280759,7.244941546337007
21,13200,0.0,4500,0.1298,1,0.34,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9.488047863280759,8.412054873292933
22,210000,6.0,16000,0.10619999999999999,0,0.08,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12.25486757159303,9.680406499268875
26,210000,10.0,22000,0.1183,0,0.1,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12.25486757159303,9.99884318585288
26,48000,5.0,25000,0.1843,1,0.52,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10.778977123006351,10.12667110305036
22,54996,6.0,25000,0.1099,1,0.45,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10.915033917272405,10.12667110305036
24,55000,4.0,25000,0.1099,1,0.45,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,10.915106645867503,10.12667110305036
23,55000,4.0,25000,0.11359999999999999,1,0.45,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10.915106645867503,10.12667110305036
23,55000,4.0,25000,0.1565,1,0.45,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,10.915106645867503,10.12667110305036
24,55164,8.0,25000,0.1322,1,0.45,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,10.918083973194406,10.12667110305036
26,56000,4.0,25000,0.12869999999999998,1,0.45,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10.933124826700707,10.12667110305036
24,203500,8.0,20000,0.1304,0,0.1,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12.223426197857627,9.90353755128617
23,190000,5.0,22000,0.17579999999999998,1,0.12,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,12.154784614286667,9.99884318585288
23,13920,2.0,7750,0.1704,1,0.56,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9.541153770388567,8.955577146281511
24,60000,0.0,25000,0.1099,1,0.42,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,11.002116507732017,10.12667110305036
24,60000,2.0,25000,0.11109999999999999,1,0.42,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,11.002116507732017,10.12667110305036
26,54000,7.0,25000,0.1483,1,0.46,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10.896757843893464,10.12667110305036
23,14000,2.0,4000,0.1099,1,0.29,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.546884034617925,8.294299608857235
24,200000,8.0,12000,0.12689999999999999,0,0.06,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12.206077645517674,9.392745258631441
24,200000,8.0,12000,0.1349,0,0.06,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,12.206077645517674,9.392745258631441
21,200000,5.0,16000,0.1465,0,0.08,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12.206077645517674,9.680406499268875
25,54000,3.0,25000,0.16820000000000002,1,0.46,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10.896757843893464,10.12667110305036
23,60000,3.0,25000,0.1273,1,0.42,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11.002116507732017,10.12667110305036
23,60000,7.0,25000,0.1025,1,0.42,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,11.002116507732017,10.12667110305036
21,60000,6.0,25000,0.1099,1,0.42,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11.002116507732017,10.12667110305036
25,61959,9.0,25000,0.1273,1,0.4,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11.034244294530804,10.12667110305036
22,56400,2.0,25000,0.1496,1,0.44,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,10.94024216782542,10.12667110305036
